epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s
1,1.412785,0.705677,0.499071,0.888385,39.8
2,0.462455,0.900078,0.357459,0.904719,33.9
3,0.297121,0.934098,0.313796,0.917423,34.4
4,0.188637,0.958981,0.315376,0.900181,35.4
5,0.146464,0.96909,0.309024,0.906534,33.8
6,0.122934,0.97084,0.296001,0.912886,33.3
7,0.087819,0.984059,0.288346,0.921053,33.1
8,0.074081,0.986198,0.289904,0.92196,33.1
9,0.062252,0.988919,0.281567,0.91833,33.0
10,0.064024,0.98717,0.27208,0.91833,33.8
11,0.056669,0.987753,0.340879,0.902904,33.1
12,0.064004,0.986003,0.311705,0.920145,32.9
13,0.047094,0.990474,0.300231,0.921053,33.1
14,0.041649,0.989697,0.394854,0.892922,33.2
15,0.047411,0.989114,0.284064,0.915608,33.2
