epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s
1,1.768645,0.708009,1.082827,0.893829,34.0
2,1.055474,0.905132,1.009623,0.905626,33.4
3,0.94814,0.937403,0.990263,0.911071,33.6
4,0.867488,0.964619,0.981826,0.913793,33.8
5,0.840165,0.976283,0.98051,0.914701,33.6
6,0.818393,0.977838,0.974496,0.911978,33.5
7,0.790307,0.989308,0.974217,0.92196,33.5
8,0.780743,0.991252,0.962659,0.911978,33.8
9,0.769986,0.991252,0.959584,0.915608,34.3
10,0.76979,0.990669,0.942203,0.921053,33.6
11,0.760847,0.99203,0.95096,0.923775,33.6
12,0.759255,0.993196,0.968797,0.914701,33.7
13,0.753133,0.993585,0.950878,0.927405,33.6
14,0.745208,0.996695,0.975779,0.912886,33.8
15,0.740229,0.997473,0.930677,0.928312,34.0
